Function,System Include File,Function Prototype,Description
wcstod64,wchar.h,"_Decimal64 wcstod64(const wchar_t *nptr, wchar_t **endptr);",Converts the initial portion of the wide-character string pointed to by nptr to a double-precision decimal floating-point value.
wcstod128,wchar.h,"_Decimal128 wcstod128(const wchar_t *nptr, wchar_t **endptr);",Converts the initial portion of the wide-character string pointed to by nptr to a quad-precision decimal floating-point value.
wcstof,wchar.h,"float wcstof(const wchar_t *nptr, wchar_t **endptr);",Converts the initial portion of the wide-character string pointed to by nptr to a float value.
wcstok,wchar.h,"wchar_t *wcstok(wchar_t *wcs1, const wchar_t *wcs2, wchar_t **ptr)","Breaks wcs1 into a sequence of tokens, each of which is delimited by a wide character from the wide string pointed to by wcs2."
wcstol,wchar.h,"long int wcstol(const wchar_t *nptr, wchar_t **endptr, int base);",Converts the initial portion of the wide-character string pointed to by nptr to a long integer value.
wcstold,wchar.h,"long double wcstold(const wchar_t *nptr, wchar_t **endptr);",Converts the initial portion of the wide-character string pointed to by nptr to a long double value.
wcstombs,stdlib.h,"size_t wcstombs(char *dest, const wchar_t *string, size_t count);",Converts the wchar_t string into a multibyte string dest.
wcstoul,wchar.h,"unsigned long int wcstoul(const wchar_t *nptr, wchar_t **endptr, int base);",Converts the initial portion of the wide-character string pointed to by nptr to an unsigned long integer value.
wcsxfrm4,wchar.h,"size_t wcsxfrm (wchar_t *wcs1, const wchar_t *wcs2, size_t n);",Transforms a wide-character string to values which represent character collating weights and places the resulting wide-character string into an array.
wctob,"stdarg.h
wchar.h",int wctob(wint_t wc);,Determines whether wc corresponds to a member of the extended character set whose multibyte character representation is a single byte when in the initial shift state.
wctomb,stdlib.h,"int wctomb(char *string, wchar_t character);",Converts the wchar_t value of character into a multibyte string.
wctrans,wctype.h,wctrans_t wctrans(const char *property);,Constructs a value with type wctrans_t that describes a mapping between wide characters identified by the string argument property.
wctype4,wchar.h,wctype_t wctype (const char *property);,Obtains handle for character property classification.
wcwidth,wchar.h,"int wcswidth(const wchar_t *pwcs, size_t n);",Determine the display width of a wide character string.
wmemchr,wchar.h,"wchar_t *wmemchr(const wchar_t *s, wchar_t c, size_t n);",Locates the first occurrence of c in the initial n wide characters of the object pointed to by s.
wmemcmp,wchar.h,"int wmemcmp(const wchar_t *s1, const wchar_t *s2, size_t n);",Compares the first n wide characters of the object pointed to by s1 to the first n characters of the object pointed to by s2.
wmemcpy,wchar.h,"wchar_t *wmemcpy(wchar_t *s1, const wchar_t *s2, size_t n);",Copies n wide characters from the object pointed to by s2 to the object pointed to by s1.
wmemmove,wchar.h,"wchar_t *wmemmove(wchar_t *s1, const wchar_t *s2, size_t n);",Copies n wide characters from the object pointed to by s2 to the object pointed to by s1.
wmemset,wchar.h,"wchar_t *wmemset(wchar_t *s, wchar_t c, size_t n);",Copies the value of c into each of the first n wide characters of the object pointed to by s.
wprintf6,wchar.h,"int wprintf(const wchar_t *format, arg-list);",Equivalent to fwprintf with the argument stdout interposed before the arguments to wprintf.
wscanf6,wchar.h,"int wscanf(const wchar_t *format, arg-list);",Equivalent to fwscanf with the argument stdin interposed before the arguments of wscanf.
y0,math.h,double y0(double x);,Calculates the Bessel function value of the second kind of order 0.
y1,math.h,double y1(double x);,Calculates the Bessel function value of the second kind of order 1.
yn,math.h,"double yn(int n, double x);",Calculates the Bessel function value of the second kind of order n.
