v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4,cleaned_v2,tokens,tokens_nostop,tokens_stemmed,tokens_lemmatized
ham,"sure, but make sure he knows we ain't smokin yet",,,,sure but make sure he knows we aint smokin yet,"['sure', 'but', 'make', 'sure', 'he', 'knows', 'we', 'aint', 'smokin', 'yet']","['sure', 'make', 'sure', 'knows', 'aint', 'smokin', 'yet']","['sure', 'make', 'sure', 'know', 'aint', 'smokin', 'yet']","['sure', 'make', 'sure', 'know', 'aint', 'smokin', 'yet']"
ham,Boooo you always work. Just quit.,,,,boooo you always work just quit,"['boooo', 'you', 'always', 'work', 'just', 'quit']","['boooo', 'always', 'work', 'quit']","['boooo', 'alway', 'work', 'quit']","['boooo', 'alway', 'work', 'quit']"
ham,I am taking half day leave bec i am not well,,,,i am taking half day leave bec i am not well,"['i', 'am', 'taking', 'half', 'day', 'leave', 'bec', 'i', 'am', 'not', 'well']","['taking', 'half', 'day', 'leave', 'bec', 'well']","['take', 'half', 'day', 'leav', 'bec', 'well']","['take', 'half', 'day', 'leav', 'bec', 'well']"
ham,Ugh I don't wanna get out of bed. It's so warm.,,,,ugh i dont wanna get out of bed its so warm,"['ugh', 'i', 'dont', 'wanna', 'get', 'out', 'of', 'bed', 'its', 'so', 'warm']","['ugh', 'dont', 'wanna', 'get', 'bed', 'warm']","['ugh', 'dont', 'wanna', 'get', 'bed', 'warm']","['ugh', 'dont', 'wanna', 'get', 'bed', 'warm']"
ham,S:)s.nervous  &lt;#&gt; :),,,,ssnervous ltgt,"['ssnervous', 'ltgt']","['ssnervous', 'ltgt']","['ssnervou', 'ltgt']","['ssnervou', 'ltgt']"
ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,,,,so theres a ring that comes with the guys costumes its there so they can gift their future yowifes hint hint,"['so', 'theres', 'a', 'ring', 'that', 'comes', 'with', 'the', 'guys', 'costumes', 'its', 'there', 'so', 'they', 'can', 'gift', 'their', 'future', 'yowifes', 'hint', 'hint']","['theres', 'ring', 'comes', 'guys', 'costumes', 'gift', 'future', 'yowifes', 'hint', 'hint']","['there', 'ring', 'come', 'guy', 'costum', 'gift', 'futur', 'yowif', 'hint', 'hint']","['there', 'ring', 'come', 'guy', 'costum', 'gift', 'futur', 'yowif', 'hint', 'hint']"
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,,congratulations ur awarded either å of cd gift vouchers free entry our å weekly draw txt music to tncs,"['congratulations', 'ur', 'awarded', 'either', 'å', 'of', 'cd', 'gift', 'vouchers', 'free', 'entry', 'our', 'å', 'weekly', 'draw', 'txt', 'music', 'to', 'tncs']","['congratulations', 'ur', 'awarded', 'either', 'å', 'cd', 'gift', 'vouchers', 'free', 'entry', 'å', 'weekly', 'draw', 'txt', 'music', 'tncs']","['congratul', 'ur', 'award', 'either', 'å', 'cd', 'gift', 'voucher', 'free', 'entri', 'å', 'weekli', 'draw', 'txt', 'music', 'tnc']","['congratul', 'ur', 'award', 'either', 'å', 'cd', 'gift', 'voucher', 'free', 'entri', 'å', 'weekli', 'draw', 'txt', 'music', 'tnc']"
ham,I borrow ur bag ok.,,,,i borrow ur bag ok,"['i', 'borrow', 'ur', 'bag', 'ok']","['borrow', 'ur', 'bag', 'ok']","['borrow', 'ur', 'bag', 'ok']","['borrow', 'ur', 'bag', 'ok']"
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",,,,u were outbid by simonwatson on the shinco dvd plyr bid again visit sms acsmsrewards end bid notifications reply end out,"['u', 'were', 'outbid', 'by', 'simonwatson', 'on', 'the', 'shinco', 'dvd', 'plyr', 'bid', 'again', 'visit', 'sms', 'acsmsrewards', 'end', 'bid', 'notifications', 'reply', 'end', 'out']","['u', 'outbid', 'simonwatson', 'shinco', 'dvd', 'plyr', 'bid', 'visit', 'sms', 'acsmsrewards', 'end', 'bid', 'notifications', 'reply', 'end']","['u', 'outbid', 'simonwatson', 'shinco', 'dvd', 'plyr', 'bid', 'visit', 'sm', 'acsmsreward', 'end', 'bid', 'notif', 'repli', 'end']","['u', 'outbid', 'simonwatson', 'shinco', 'dvd', 'plyr', 'bid', 'visit', 'sm', 'acsmsreward', 'end', 'bid', 'notif', 'repli', 'end']"
ham,Where's my boytoy? I miss you ... What happened?,,,,wheres my boytoy i miss you what happened,"['wheres', 'my', 'boytoy', 'i', 'miss', 'you', 'what', 'happened']","['wheres', 'boytoy', 'miss', 'happened']","['where', 'boytoy', 'miss', 'happen']","['where', 'boytoy', 'miss', 'happen']"
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",,,,he has lots of used ones babe but the model doesnt help youi have to bring it over and hell match it up,"['he', 'has', 'lots', 'of', 'used', 'ones', 'babe', 'but', 'the', 'model', 'doesnt', 'help', 'youi', 'have', 'to', 'bring', 'it', 'over', 'and', 'hell', 'match', 'it', 'up']","['lots', 'used', 'ones', 'babe', 'model', 'doesnt', 'help', 'youi', 'bring', 'hell', 'match']","['lot', 'use', 'one', 'babe', 'model', 'doesnt', 'help', 'youi', 'bring', 'hell', 'match']","['lot', 'use', 'one', 'babe', 'model', 'doesnt', 'help', 'youi', 'bring', 'hell', 'match']"
ham,Also are you bringing galileo or dobby,,,,also are you bringing galileo or dobby,"['also', 'are', 'you', 'bringing', 'galileo', 'or', 'dobby']","['also', 'bringing', 'galileo', 'dobby']","['also', 'bring', 'galileo', 'dobbi']","['also', 'bring', 'galileo', 'dobbi']"
ham,Then why you not responding,,,,then why you not responding,"['then', 'why', 'you', 'not', 'responding']",['responding'],['respond'],['respond']
ham,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IåÕLLSPEAK 2U SOONLOTS OF LOVEME XXXX.\""""",,,,boo babe u enjoyin yourjob u seemed b gettin on well hunnyhope ure oktake care iåõllspeak u soonlots of loveme xxxx,"['boo', 'babe', 'u', 'enjoyin', 'yourjob', 'u', 'seemed', 'b', 'gettin', 'on', 'well', 'hunnyhope', 'ure', 'oktake', 'care', 'iåõllspeak', 'u', 'soonlots', 'of', 'loveme', 'xxxx']","['boo', 'babe', 'u', 'enjoyin', 'yourjob', 'u', 'seemed', 'b', 'gettin', 'well', 'hunnyhope', 'ure', 'oktake', 'care', 'iåõllspeak', 'u', 'soonlots', 'loveme', 'xxxx']","['boo', 'babe', 'u', 'enjoyin', 'yourjob', 'u', 'seem', 'b', 'gettin', 'well', 'hunnyhop', 'ure', 'oktak', 'care', 'iåõllspeak', 'u', 'soonlot', 'lovem', 'xxxx']","['boo', 'babe', 'u', 'enjoyin', 'yourjob', 'u', 'seem', 'b', 'gettin', 'well', 'hunnyhop', 'ure', 'oktak', 'care', 'iåõllspeak', 'u', 'soonlot', 'lovem', 'xxxx']"
ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,,,,good afternoon starshine hows my boytoy does he crave me yet ache to fuck me sips cappuccino i miss you babe teasing kiss,"['good', 'afternoon', 'starshine', 'hows', 'my', 'boytoy', 'does', 'he', 'crave', 'me', 'yet', 'ache', 'to', 'fuck', 'me', 'sips', 'cappuccino', 'i', 'miss', 'you', 'babe', 'teasing', 'kiss']","['good', 'afternoon', 'starshine', 'hows', 'boytoy', 'crave', 'yet', 'ache', 'fuck', 'sips', 'cappuccino', 'miss', 'babe', 'teasing', 'kiss']","['good', 'afternoon', 'starshin', 'how', 'boytoy', 'crave', 'yet', 'ach', 'fuck', 'sip', 'cappuccino', 'miss', 'babe', 'teas', 'kiss']","['good', 'afternoon', 'starshin', 'how', 'boytoy', 'crave', 'yet', 'ach', 'fuck', 'sip', 'cappuccino', 'miss', 'babe', 'tea', 'kiss']"
ham,On the road so cant txt,,,,on the road so cant txt,"['on', 'the', 'road', 'so', 'cant', 'txt']","['road', 'cant', 'txt']","['road', 'cant', 'txt']","['road', 'cant', 'txt']"
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,,smsservices for yourinclusive text credits pls goto login qxj unsubscribe with stop no extra charge help comuk cm ae,"['smsservices', 'for', 'yourinclusive', 'text', 'credits', 'pls', 'goto', 'login', 'qxj', 'unsubscribe', 'with', 'stop', 'no', 'extra', 'charge', 'help', 'comuk', 'cm', 'ae']","['smsservices', 'yourinclusive', 'text', 'credits', 'pls', 'goto', 'login', 'qxj', 'unsubscribe', 'stop', 'extra', 'charge', 'help', 'comuk', 'cm', 'ae']","['smsservic', 'yourinclus', 'text', 'credit', 'pl', 'goto', 'login', 'qxj', 'unsubscrib', 'stop', 'extra', 'charg', 'help', 'comuk', 'cm', 'ae']","['smsservic', 'yourinclus', 'text', 'credit', 'pl', 'goto', 'login', 'qxj', 'unsubscrib', 'stop', 'extra', 'charg', 'help', 'comuk', 'cm', 'ae']"
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,,p alfie moons children in need song on ur mob tell ur ms txt tone charity to for nokias or poly charity for polys zed profit charity,"['p', 'alfie', 'moons', 'children', 'in', 'need', 'song', 'on', 'ur', 'mob', 'tell', 'ur', 'ms', 'txt', 'tone', 'charity', 'to', 'for', 'nokias', 'or', 'poly', 'charity', 'for', 'polys', 'zed', 'profit', 'charity']","['p', 'alfie', 'moons', 'children', 'need', 'song', 'ur', 'mob', 'tell', 'ur', 'ms', 'txt', 'tone', 'charity', 'nokias', 'poly', 'charity', 'polys', 'zed', 'profit', 'charity']","['p', 'alfi', 'moon', 'children', 'need', 'song', 'ur', 'mob', 'tell', 'ur', 'ms', 'txt', 'tone', 'chariti', 'nokia', 'poli', 'chariti', 'poli', 'zed', 'profit', 'chariti']","['p', 'alfi', 'moon', 'child', 'need', 'song', 'ur', 'mob', 'tell', 'ur', 'm', 'txt', 'tone', 'chariti', 'nokia', 'poli', 'chariti', 'poli', 'zed', 'profit', 'chariti']"
ham,Have a good evening! Ttyl,,,,have a good evening ttyl,"['have', 'a', 'good', 'evening', 'ttyl']","['good', 'evening', 'ttyl']","['good', 'even', 'ttyl']","['good', 'even', 'ttyl']"
ham,Hmm .. Bits and pieces lol ... *sighs* ...,,,,hmm bits and pieces lol sighs,"['hmm', 'bits', 'and', 'pieces', 'lol', 'sighs']","['hmm', 'bits', 'pieces', 'lol', 'sighs']","['hmm', 'bit', 'piec', 'lol', 'sigh']","['hmm', 'bit', 'piec', 'lol', 'sigh']"
ham,Hahaha..use your brain dear,,,,hahahause your brain dear,"['hahahause', 'your', 'brain', 'dear']","['hahahause', 'brain', 'dear']","['hahahaus', 'brain', 'dear']","['hahahaus', 'brain', 'dear']"
ham,Hey. You got any mail?,,,,hey you got any mail,"['hey', 'you', 'got', 'any', 'mail']","['hey', 'got', 'mail']","['hey', 'got', 'mail']","['hey', 'got', 'mail']"
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",,,,sorry light turned green i meant another friend wanted ltgt worth but he may not be around,"['sorry', 'light', 'turned', 'green', 'i', 'meant', 'another', 'friend', 'wanted', 'ltgt', 'worth', 'but', 'he', 'may', 'not', 'be', 'around']","['sorry', 'light', 'turned', 'green', 'meant', 'another', 'friend', 'wanted', 'ltgt', 'worth', 'may', 'around']","['sorri', 'light', 'turn', 'green', 'meant', 'anoth', 'friend', 'want', 'ltgt', 'worth', 'may', 'around']","['sorri', 'light', 'turn', 'green', 'meant', 'anoth', 'friend', 'want', 'ltgt', 'worth', 'may', 'around']"
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,,,,thanks for yesterday sir you have been wonderful hope you enjoyed the burial mojibiola,"['thanks', 'for', 'yesterday', 'sir', 'you', 'have', 'been', 'wonderful', 'hope', 'you', 'enjoyed', 'the', 'burial', 'mojibiola']","['thanks', 'yesterday', 'sir', 'wonderful', 'hope', 'enjoyed', 'burial', 'mojibiola']","['thank', 'yesterday', 'sir', 'wonder', 'hope', 'enjoy', 'burial', 'mojibiola']","['thank', 'yesterday', 'sir', 'wonder', 'hope', 'enjoy', 'burial', 'mojibiola']"
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,,u have a secret admirer reveal who thinks u r so special call to opt out reply reveal stop per msg recd cust care,"['u', 'have', 'a', 'secret', 'admirer', 'reveal', 'who', 'thinks', 'u', 'r', 'so', 'special', 'call', 'to', 'opt', 'out', 'reply', 'reveal', 'stop', 'per', 'msg', 'recd', 'cust', 'care']","['u', 'secret', 'admirer', 'reveal', 'thinks', 'u', 'r', 'special', 'call', 'opt', 'reply', 'reveal', 'stop', 'per', 'msg', 'recd', 'cust', 'care']","['u', 'secret', 'admir', 'reveal', 'think', 'u', 'r', 'special', 'call', 'opt', 'repli', 'reveal', 'stop', 'per', 'msg', 'recd', 'cust', 'care']","['u', 'secret', 'admir', 'reveal', 'think', 'u', 'r', 'special', 'call', 'opt', 'repli', 'reveal', 'stop', 'per', 'msg', 'recd', 'cust', 'care']"
ham,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havenåÕt sent u 1 in ages started driving so stay off roads!RVx,,,,hi mate its rv did u hav a nice hol just a message say hello coz havenåõt sent u in ages started driving so stay off roadsrvx,"['hi', 'mate', 'its', 'rv', 'did', 'u', 'hav', 'a', 'nice', 'hol', 'just', 'a', 'message', 'say', 'hello', 'coz', 'havenåõt', 'sent', 'u', 'in', 'ages', 'started', 'driving', 'so', 'stay', 'off', 'roadsrvx']","['hi', 'mate', 'rv', 'u', 'hav', 'nice', 'hol', 'message', 'say', 'hello', 'coz', 'havenåõt', 'sent', 'u', 'ages', 'started', 'driving', 'stay', 'roadsrvx']","['hi', 'mate', 'rv', 'u', 'hav', 'nice', 'hol', 'messag', 'say', 'hello', 'coz', 'havenåõt', 'sent', 'u', 'age', 'start', 'drive', 'stay', 'roadsrvx']","['hi', 'mate', 'rv', 'u', 'hav', 'nice', 'hol', 'messag', 'say', 'hello', 'coz', 'havenåõt', 'sent', 'u', 'age', 'start', 'drive', 'stay', 'roadsrvx']"
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062",,,,dear voucher holder to claim this weeks offer at you pc please go to tscs apply to stop texts txt stop to,"['dear', 'voucher', 'holder', 'to', 'claim', 'this', 'weeks', 'offer', 'at', 'you', 'pc', 'please', 'go', 'to', 'tscs', 'apply', 'to', 'stop', 'texts', 'txt', 'stop', 'to']","['dear', 'voucher', 'holder', 'claim', 'weeks', 'offer', 'pc', 'please', 'go', 'tscs', 'apply', 'stop', 'texts', 'txt', 'stop']","['dear', 'voucher', 'holder', 'claim', 'week', 'offer', 'pc', 'pleas', 'go', 'tsc', 'appli', 'stop', 'text', 'txt', 'stop']","['dear', 'voucher', 'holder', 'claim', 'week', 'offer', 'pc', 'plea', 'go', 'tsc', 'appli', 'stop', 'text', 'txt', 'stop']"
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",,,,thank you so much when we skyped wit kz and sura we didnt get the pleasure of your company hope you are good weve given you ultimatum oh we are countin down to aburo enjoy this is the message i sent days ago,"['thank', 'you', 'so', 'much', 'when', 'we', 'skyped', 'wit', 'kz', 'and', 'sura', 'we', 'didnt', 'get', 'the', 'pleasure', 'of', 'your', 'company', 'hope', 'you', 'are', 'good', 'weve', 'given', 'you', 'ultimatum', 'oh', 'we', 'are', 'countin', 'down', 'to', 'aburo', 'enjoy', 'this', 'is', 'the', 'message', 'i', 'sent', 'days', 'ago']","['thank', 'much', 'skyped', 'wit', 'kz', 'sura', 'didnt', 'get', 'pleasure', 'company', 'hope', 'good', 'weve', 'given', 'ultimatum', 'oh', 'countin', 'aburo', 'enjoy', 'message', 'sent', 'days', 'ago']","['thank', 'much', 'skype', 'wit', 'kz', 'sura', 'didnt', 'get', 'pleasur', 'compani', 'hope', 'good', 'weve', 'given', 'ultimatum', 'oh', 'countin', 'aburo', 'enjoy', 'messag', 'sent', 'day', 'ago']","['thank', 'much', 'skype', 'wit', 'kz', 'sura', 'didnt', 'get', 'pleasur', 'compani', 'hope', 'good', 'weve', 'given', 'ultimatum', 'oh', 'countin', 'aburo', 'enjoy', 'messag', 'sent', 'day', 'ago']"
ham,Surely result will offer:),,,,surely result will offer,"['surely', 'result', 'will', 'offer']","['surely', 'result', 'offer']","['sure', 'result', 'offer']","['sure', 'result', 'offer']"
ham,Good Morning my Dear........... Have a great &amp; successful day.,,,,good morning my dear have a great amp successful day,"['good', 'morning', 'my', 'dear', 'have', 'a', 'great', 'amp', 'successful', 'day']","['good', 'morning', 'dear', 'great', 'amp', 'successful', 'day']","['good', 'morn', 'dear', 'great', 'amp', 'success', 'day']","['good', 'morn', 'dear', 'great', 'amp', 'success', 'day']"
spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,,,,do you want anytime any network mins text and a new video phone for only five pounds per week call or reply for delivery tomorrow,"['do', 'you', 'want', 'anytime', 'any', 'network', 'mins', 'text', 'and', 'a', 'new', 'video', 'phone', 'for', 'only', 'five', 'pounds', 'per', 'week', 'call', 'or', 'reply', 'for', 'delivery', 'tomorrow']","['want', 'anytime', 'network', 'mins', 'text', 'new', 'video', 'phone', 'five', 'pounds', 'per', 'week', 'call', 'reply', 'delivery', 'tomorrow']","['want', 'anytim', 'network', 'min', 'text', 'new', 'video', 'phone', 'five', 'pound', 'per', 'week', 'call', 'repli', 'deliveri', 'tomorrow']","['want', 'anytim', 'network', 'min', 'text', 'new', 'video', 'phone', 'five', 'pound', 'per', 'week', 'call', 'repli', 'deliveri', 'tomorrow']"
ham,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",,,,sir i have been late in paying rent for the past few months and had to pay a ltgt charge i felt it would be inconsiderate of me to nag about something you give at great cost to yourself and thats why i didnt speak up i however am in a recession and wont be able to pay the charge this month hence my askin well ahead of months end can you please help thanks,"['sir', 'i', 'have', 'been', 'late', 'in', 'paying', 'rent', 'for', 'the', 'past', 'few', 'months', 'and', 'had', 'to', 'pay', 'a', 'ltgt', 'charge', 'i', 'felt', 'it', 'would', 'be', 'inconsiderate', 'of', 'me', 'to', 'nag', 'about', 'something', 'you', 'give', 'at', 'great', 'cost', 'to', 'yourself', 'and', 'thats', 'why', 'i', 'didnt', 'speak', 'up', 'i', 'however', 'am', 'in', 'a', 'recession', 'and', 'wont', 'be', 'able', 'to', 'pay', 'the', 'charge', 'this', 'month', 'hence', 'my', 'askin', 'well', 'ahead', 'of', 'months', 'end', 'can', 'you', 'please', 'help', 'thanks']","['sir', 'late', 'paying', 'rent', 'past', 'months', 'pay', 'ltgt', 'charge', 'felt', 'would', 'inconsiderate', 'nag', 'something', 'give', 'great', 'cost', 'thats', 'didnt', 'speak', 'however', 'recession', 'wont', 'able', 'pay', 'charge', 'month', 'hence', 'askin', 'well', 'ahead', 'months', 'end', 'please', 'help', 'thanks']","['sir', 'late', 'pay', 'rent', 'past', 'month', 'pay', 'ltgt', 'charg', 'felt', 'would', 'inconsider', 'nag', 'someth', 'give', 'great', 'cost', 'that', 'didnt', 'speak', 'howev', 'recess', 'wont', 'abl', 'pay', 'charg', 'month', 'henc', 'askin', 'well', 'ahead', 'month', 'end', 'pleas', 'help', 'thank']","['sir', 'late', 'pay', 'rent', 'past', 'month', 'pay', 'ltgt', 'charg', 'felt', 'would', 'inconsider', 'nag', 'someth', 'give', 'great', 'cost', 'that', 'didnt', 'speak', 'howev', 'recess', 'wont', 'abl', 'pay', 'charg', 'month', 'henc', 'askin', 'well', 'ahead', 'month', 'end', 'plea', 'help', 'thank']"
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,,,,we tried to contact you re our offer of new video phone anytime any network mins half price rental camcorder call or reply for delivery wed,"['we', 'tried', 'to', 'contact', 'you', 're', 'our', 'offer', 'of', 'new', 'video', 'phone', 'anytime', 'any', 'network', 'mins', 'half', 'price', 'rental', 'camcorder', 'call', 'or', 'reply', 'for', 'delivery', 'wed']","['tried', 'contact', 'offer', 'new', 'video', 'phone', 'anytime', 'network', 'mins', 'half', 'price', 'rental', 'camcorder', 'call', 'reply', 'delivery', 'wed']","['tri', 'contact', 'offer', 'new', 'video', 'phone', 'anytim', 'network', 'min', 'half', 'price', 'rental', 'camcord', 'call', 'repli', 'deliveri', 'wed']","['tri', 'contact', 'offer', 'new', 'video', 'phone', 'anytim', 'network', 'min', 'half', 'price', 'rental', 'camcord', 'call', 'repli', 'deliveri', 'wed']"
spam,Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP,,,,last chance claim ur å worth of discount voucherstext yes to nowsavamobmember offers mobile t cs å sub remove txt x or stop,"['last', 'chance', 'claim', 'ur', 'å', 'worth', 'of', 'discount', 'voucherstext', 'yes', 'to', 'nowsavamobmember', 'offers', 'mobile', 't', 'cs', 'å', 'sub', 'remove', 'txt', 'x', 'or', 'stop']","['last', 'chance', 'claim', 'ur', 'å', 'worth', 'discount', 'voucherstext', 'yes', 'nowsavamobmember', 'offers', 'mobile', 'cs', 'å', 'sub', 'remove', 'txt', 'x', 'stop']","['last', 'chanc', 'claim', 'ur', 'å', 'worth', 'discount', 'voucherstext', 'ye', 'nowsavamobmemb', 'offer', 'mobil', 'cs', 'å', 'sub', 'remov', 'txt', 'x', 'stop']","['last', 'chanc', 'claim', 'ur', 'å', 'worth', 'discount', 'voucherstext', 'ye', 'nowsavamobmemb', 'offer', 'mobil', 'c', 'å', 'sub', 'remov', 'txt', 'x', 'stop']"
ham,I luv u soo much u donåÕt understand how special u r 2 me ring u 2morrow luv u xxx,,,,i luv u soo much u donåõt understand how special u r me ring u morrow luv u xxx,"['i', 'luv', 'u', 'soo', 'much', 'u', 'donåõt', 'understand', 'how', 'special', 'u', 'r', 'me', 'ring', 'u', 'morrow', 'luv', 'u', 'xxx']","['luv', 'u', 'soo', 'much', 'u', 'donåõt', 'understand', 'special', 'u', 'r', 'ring', 'u', 'morrow', 'luv', 'u', 'xxx']","['luv', 'u', 'soo', 'much', 'u', 'donåõt', 'understand', 'special', 'u', 'r', 'ring', 'u', 'morrow', 'luv', 'u', 'xxx']","['luv', 'u', 'soo', 'much', 'u', 'donåõt', 'understand', 'special', 'u', 'r', 'ring', 'u', 'morrow', 'luv', 'u', 'xxx']"
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much.",,,,pls send me a comprehensive mail about who im paying when and how much,"['pls', 'send', 'me', 'a', 'comprehensive', 'mail', 'about', 'who', 'im', 'paying', 'when', 'and', 'how', 'much']","['pls', 'send', 'comprehensive', 'mail', 'im', 'paying', 'much']","['pl', 'send', 'comprehens', 'mail', 'im', 'pay', 'much']","['pl', 'send', 'comprehens', 'mail', 'im', 'pay', 'much']"
ham,Our Prashanthettan's mother passed away last night. pray for her and family.,,,,our prashanthettans mother passed away last night pray for her and family,"['our', 'prashanthettans', 'mother', 'passed', 'away', 'last', 'night', 'pray', 'for', 'her', 'and', 'family']","['prashanthettans', 'mother', 'passed', 'away', 'last', 'night', 'pray', 'family']","['prashanthettan', 'mother', 'pass', 'away', 'last', 'night', 'pray', 'famili']","['prashanthettan', 'mother', 'pas', 'away', 'last', 'night', 'pray', 'famili']"
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",,,,urgent call from your landline your complimentary ibiza holiday or cash await collection sae tcs po box sk wp ppm,"['urgent', 'call', 'from', 'your', 'landline', 'your', 'complimentary', 'ibiza', 'holiday', 'or', 'cash', 'await', 'collection', 'sae', 'tcs', 'po', 'box', 'sk', 'wp', 'ppm']","['urgent', 'call', 'landline', 'complimentary', 'ibiza', 'holiday', 'cash', 'await', 'collection', 'sae', 'tcs', 'po', 'box', 'sk', 'wp', 'ppm']","['urgent', 'call', 'landlin', 'complimentari', 'ibiza', 'holiday', 'cash', 'await', 'collect', 'sae', 'tc', 'po', 'box', 'sk', 'wp', 'ppm']","['urgent', 'call', 'landlin', 'complimentari', 'ibiza', 'holiday', 'cash', 'await', 'collect', 'sae', 'tc', 'po', 'box', 'sk', 'wp', 'ppm']"
ham,K.k:)when are you going?,,,,kkwhen are you going,"['kkwhen', 'are', 'you', 'going']","['kkwhen', 'going']","['kkwhen', 'go']","['kkwhen', 'go']"
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,,,,meanwhile in the shit suite xavier decided to give us ltgt seconds of warning that samantha was coming over and is playing jays guitar to impress her or some shit also i dont think doug realizes i dont live here anymore,"['meanwhile', 'in', 'the', 'shit', 'suite', 'xavier', 'decided', 'to', 'give', 'us', 'ltgt', 'seconds', 'of', 'warning', 'that', 'samantha', 'was', 'coming', 'over', 'and', 'is', 'playing', 'jays', 'guitar', 'to', 'impress', 'her', 'or', 'some', 'shit', 'also', 'i', 'dont', 'think', 'doug', 'realizes', 'i', 'dont', 'live', 'here', 'anymore']","['meanwhile', 'shit', 'suite', 'xavier', 'decided', 'give', 'us', 'ltgt', 'seconds', 'warning', 'samantha', 'coming', 'playing', 'jays', 'guitar', 'impress', 'shit', 'also', 'dont', 'think', 'doug', 'realizes', 'dont', 'live', 'anymore']","['meanwhil', 'shit', 'suit', 'xavier', 'decid', 'give', 'us', 'ltgt', 'second', 'warn', 'samantha', 'come', 'play', 'jay', 'guitar', 'impress', 'shit', 'also', 'dont', 'think', 'doug', 'realiz', 'dont', 'live', 'anymor']","['meanwhil', 'shit', 'suit', 'xavier', 'decid', 'give', 'u', 'ltgt', 'second', 'warn', 'samantha', 'come', 'play', 'jay', 'guitar', 'impress', 'shit', 'also', 'dont', 'think', 'doug', 'realiz', 'dont', 'live', 'anymor']"
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,,,,my stomach has been thru so much trauma i swear i just cant eat i better lose weight,"['my', 'stomach', 'has', 'been', 'thru', 'so', 'much', 'trauma', 'i', 'swear', 'i', 'just', 'cant', 'eat', 'i', 'better', 'lose', 'weight']","['stomach', 'thru', 'much', 'trauma', 'swear', 'cant', 'eat', 'better', 'lose', 'weight']","['stomach', 'thru', 'much', 'trauma', 'swear', 'cant', 'eat', 'better', 'lose', 'weight']","['stomach', 'thru', 'much', 'trauma', 'swear', 'cant', 'eat', 'better', 'lose', 'weight']"
ham,I am in office:)whats the matter..msg me now.i will call you at break:).,,,,i am in officewhats the mattermsg me nowi will call you at break,"['i', 'am', 'in', 'officewhats', 'the', 'mattermsg', 'me', 'nowi', 'will', 'call', 'you', 'at', 'break']","['officewhats', 'mattermsg', 'nowi', 'call', 'break']","['officewhat', 'mattermsg', 'nowi', 'call', 'break']","['officewhat', 'mattermsg', 'nowi', 'call', 'break']"
